NAME    DB      $5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C
        DB      $5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$14,$2C,$44
        DB      $5C,$5C,$5C,$6A,$5C,$5C,$5C,$5C,$5C,$5C,$7F,$85,$5C,$5C,$5C,$91
        DB      $95,$9B,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$15,$2D,$45
        DB      $5C,$5C,$65,$6B,$6E,$74,$5C,$5C,$5C,$5C,$80,$86,$8B,$5C,$5C,$92
        DB      $96,$9C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$16,$2E,$46
        DB      $5C,$5C,$66,$68,$6F,$75,$5C,$5C,$5C,$5C,$81,$87,$8C,$5C,$5C,$5C
        DB      $97,$9D,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$17,$2F,$47
        DB      $5C,$60,$67,$68,$70,$76,$5C,$5C,$5C,$7E,$82,$88,$8D,$90,$5C,$5C
        DB      $98,$9E,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$00,$18,$30,$48
        DB      $5C,$61,$67,$68,$71,$77,$5C,$5C,$5C,$5C,$83,$89,$8E,$5C,$5C,$93
        DB      $99,$9F,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$01,$19,$31,$49
        DB      $5D,$62,$68,$68,$68,$78,$7B,$5C,$5C,$5C,$84,$8A,$8F,$5C,$5C,$94
        DB      $9A,$A0,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$02,$1A,$32,$4A
        DB      $5E,$63,$68,$6C,$72,$79,$7C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C
        DB      $5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$03,$1B,$33,$4B
        DB      $5F,$64,$69,$6D,$73,$7A,$7D,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C
        DB      $5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$04,$1C,$34,$4C
        DB      $5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C
        DB      $5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$05,$1D,$35,$4D
        DB      $5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C
        DB      $5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$06,$1E,$36,$4E
        DB      $5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C
        DB      $5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$5C,$07,$1F,$37,$4F
